,Loyalty Number,Country,Province,City,Postal Code,Gender,Education,Salary,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,Cancellation Year,Cancellation Month
0,480934,Canada,Ontario,Toronto,M2Z 4K1,Female,Bachelor,83236,Married,Star,3839.14,Standard,2016,2,2016,6
1,549612,Canada,Alberta,Edmonton,T3G 6Y6,Male,College,79245,Divorced,Star,3839.61,Standard,2016,3,2016,6
2,429460,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79245,Single,Star,3839.75,Standard,2014,7,2018,1
3,608370,Canada,Ontario,Toronto,P1W 1K4,Male,College,79245,Single,Star,3839.75,Standard,2013,2,2016,6
4,530508,Canada,Quebec,Hull,J8Y 3Z5,Male,Bachelor,103495,Married,Star,3842.79,Standard,2014,10,2016,6
5,193662,Canada,Yukon,Whitehorse,Y2K 6R0,Male,Bachelor,51124,Married,Star,3844.57,Standard,2012,5,2016,6
6,927943,Canada,Ontario,Toronto,P5S 6R4,Female,College,79245,Single,Star,3857.95,Standard,2014,6,2016,6
7,188893,Canada,Ontario,Trenton,K8V 4B2,Male,Bachelor,100159,Married,Star,3861.49,Standard,2016,12,2016,6
8,852392,Canada,Quebec,Montreal,H2Y 2W2,Female,Bachelor,100159,Married,Star,3861.49,Standard,2015,5,2016,6
9,866307,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,100159,Married,Star,3861.49,Standard,2016,10,2016,6
10,932823,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,66444,Married,Star,3863.31,Standard,2015,3,2016,6
11,144514,Canada,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,49618,Married,Star,3864.78,Standard,2016,6,2016,6
12,611765,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,90175,Single,Star,3867.97,Standard,2018,1,2016,6
13,988178,Canada,Quebec,Montreal,H4G 3T4,Male,College,79245,Single,Star,3871.07,Standard,2013,10,2016,6
14,286114,Canada,Ontario,Toronto,M2M 7K8,Female,College,79245,Single,Star,3872.22,Standard,2016,11,2016,6
15,205785,Canada,Ontario,Toronto,M2M 6J7,Male,Master,128118,Married,Star,3873.65,Standard,2016,8,2016,6
16,735304,Canada,Alberta,Edmonton,T3G 6Y6,Female,Master,128118,Married,Star,3873.65,Standard,2016,12,2016,6
